,HKL_1,MSC_1,NET_1,NET_2,POT_1,POT_2,TLS_1,TLS_2,TWL_1,TWS_1
HKL_1,NA,-0.163548989,0,0,0.013300052,-0.222836232,-0.052949712,-0.13167477,0,0
MSC_1,-0.163548989,NA,0,0,-0.439088839,-0.49018027,-0.1989855,0,0,0
NET_1,0,0,NA,-0.168367647,0,0,0,0,0,0
NET_2,0,0,-0.168367647,NA,-0.343916499,0,0,0,0,0
POT_1,0.013300052,-0.439088839,0,-0.343916499,NA,0,-0.041142186,-0.04958202,-0.138393574,-0.309778061
POT_2,-0.222836232,-0.49018027,0,0,0,NA,0.218844122,0,0,0
TLS_1,-0.052949712,-0.1989855,0,0,-0.041142186,0.218844122,NA,-0.06974223,0,0
TLS_2,-0.13167477,0,0,0,-0.04958202,0,-0.06974223,NA,-0.14577434,-0.348243745
TWL_1,0,0,0,0,-0.138393574,0,0,-0.14577434,NA,-0.525989799
TWS_1,0,0,0,0,-0.309778061,0,0,-0.348243745,-0.525989799,NA